% Model,SOR optimaze — копия.mph
% Version,COMSOL 6.0.0.318
% Date,"May 27 2023, 13:52"
% Table,Table  - Integral
% light,k5,k9,target
3.100000000000000E-5,5.000000000000000E3,5.100000000000000E-4,1.525090542718860E-7
3.100000000000000E-5,5.000000000000000E3,6.100000000000001E-4,1.525090542591703E-7
3.100000000000000E-5,5.000000000000000E3,7.100000000000000E-4,1.525090542464541E-7
3.100000000000000E-5,5.000000000000000E3,8.100000000000001E-4,1.525090542337388E-7
3.100000000000000E-5,5.000000000000000E3,9.100000000000001E-4,1.525090542210230E-7
4.100000000000000E-5,2.000000000000000E3,1.000000000000000E-5,1.548646496442945E-7
4.100000000000000E-5,2.000000000000000E3,1.100000000000000E-4,1.548646496381141E-7
4.100000000000000E-5,2.000000000000000E3,2.100000000000000E-4,1.548646496319329E-7
4.100000000000000E-5,2.000000000000000E3,3.100000000000001E-4,1.548646496257520E-7
4.100000000000000E-5,2.000000000000000E3,4.100000000000001E-4,1.548646496195718E-7
4.100000000000000E-5,2.000000000000000E3,5.100000000000000E-4,1.548646496133912E-7
4.100000000000000E-5,2.000000000000000E3,6.100000000000001E-4,1.548646496072102E-7
4.100000000000000E-5,2.000000000000000E3,7.100000000000000E-4,1.548646496010299E-7
4.100000000000000E-5,2.000000000000000E3,8.100000000000001E-4,1.548646495948492E-7
4.100000000000000E-5,2.000000000000000E3,9.100000000000001E-4,1.548646495886683E-7
4.100000000000000E-5,3.000000000000000E3,1.000000000000000E-5,1.541716638171996E-7
4.100000000000000E-5,3.000000000000000E3,1.100000000000000E-4,1.541716638083199E-7
4.100000000000000E-5,3.000000000000000E3,2.100000000000000E-4,1.541716637994411E-7
4.100000000000000E-5,3.000000000000000E3,3.100000000000001E-4,1.541716637905621E-7
4.100000000000000E-5,3.000000000000000E3,4.100000000000001E-4,1.541716637816829E-7
4.100000000000000E-5,3.000000000000000E3,5.100000000000000E-4,1.541716637728042E-7
4.100000000000000E-5,3.000000000000000E3,6.100000000000001E-4,1.541716637639254E-7
4.100000000000000E-5,3.000000000000000E3,7.100000000000000E-4,1.541716637550461E-7
4.100000000000000E-5,3.000000000000000E3,8.100000000000001E-4,1.541716637461679E-7
4.100000000000000E-5,3.000000000000000E3,9.100000000000001E-4,1.541716637372886E-7
4.100000000000000E-5,4.000000000000000E3,1.000000000000000E-5,1.535090484614819E-7
4.100000000000000E-5,4.000000000000000E3,1.100000000000000E-4,1.535090484501082E-7
4.100000000000000E-5,4.000000000000000E3,2.100000000000000E-4,1.535090484387347E-7
4.100000000000000E-5,4.000000000000000E3,3.100000000000001E-4,1.535090484273603E-7
4.100000000000000E-5,4.000000000000000E3,4.100000000000001E-4,1.535090484159866E-7
4.100000000000000E-5,4.000000000000000E3,5.100000000000000E-4,1.535090484046131E-7
4.100000000000000E-5,4.000000000000000E3,6.100000000000001E-4,1.535090483932386E-7
4.100000000000000E-5,4.000000000000000E3,7.100000000000000E-4,1.535090483818655E-7
4.100000000000000E-5,4.000000000000000E3,8.100000000000001E-4,1.535090483704917E-7
4.100000000000000E-5,4.000000000000000E3,9.100000000000001E-4,1.535090483591171E-7
4.100000000000000E-5,5.000000000000000E3,1.000000000000000E-5,1.528737235970948E-7
4.100000000000000E-5,5.000000000000000E3,1.100000000000000E-4,1.528737235833989E-7
4.100000000000000E-5,5.000000000000000E3,2.100000000000000E-4,1.528737235697018E-7
4.100000000000000E-5,5.000000000000000E3,3.100000000000001E-4,1.528737235560060E-7
4.100000000000000E-5,5.000000000000000E3,4.100000000000001E-4,1.528737235423095E-7
4.100000000000000E-5,5.000000000000000E3,5.100000000000000E-4,1.528737235286128E-7
4.100000000000000E-5,5.000000000000000E3,6.100000000000001E-4,1.528737235149163E-7
4.100000000000000E-5,5.000000000000000E3,7.100000000000000E-4,1.528737235012204E-7
4.100000000000000E-5,5.000000000000000E3,8.100000000000001E-4,1.528737234875242E-7
4.100000000000000E-5,5.000000000000000E3,9.100000000000001E-4,1.528737234738286E-7
5.100000000000000E-5,2.000000000000000E3,1.000000000000000E-5,1.534278849487541E-7
5.100000000000000E-5,2.000000000000000E3,1.100000000000000E-4,1.534278849420826E-7
5.100000000000000E-5,2.000000000000000E3,2.100000000000000E-4,1.534278849354111E-7
5.100000000000000E-5,2.000000000000000E3,3.100000000000001E-4,1.534278849287395E-7
5.100000000000000E-5,2.000000000000000E3,4.100000000000001E-4,1.534278849220680E-7
5.100000000000000E-5,2.000000000000000E3,5.100000000000000E-4,1.534278849153964E-7
5.100000000000000E-5,2.000000000000000E3,6.100000000000001E-4,1.534278849087254E-7
5.100000000000000E-5,2.000000000000000E3,7.100000000000000E-4,1.534278849020533E-7
5.100000000000000E-5,2.000000000000000E3,8.100000000000001E-4,1.534278848953820E-7
5.100000000000000E-5,2.000000000000000E3,9.100000000000001E-4,1.534278848887108E-7
5.100000000000000E-5,3.000000000000000E3,1.000000000000000E-5,1.527106494782625E-7
5.100000000000000E-5,3.000000000000000E3,1.100000000000000E-4,1.527106494687419E-7
5.100000000000000E-5,3.000000000000000E3,2.100000000000000E-4,1.527106494592208E-7
