,light,target,name,time
113,0.000208,1.085296715713099e-07,continue,2023-05-19 19:52:00
114,0.000217,1.065812563725131e-07,continue,2023-05-19 19:52:00
115,0.000226,1.047176294744397e-07,continue,2023-05-19 19:52:00
116,0.000235,1.02935511250842e-07,continue,2023-05-19 19:52:00
117,0.000244,1.012313956752143e-07,continue,2023-05-19 19:52:00
118,0.000253,9.960164699827901e-08,continue,2023-05-19 19:52:00
119,0.000262,9.804257365708832e-08,continue,2023-05-19 19:52:00
120,0.000271,9.65504910159184e-08,continue,2023-05-19 19:52:00
121,0.00028,9.512177288173205e-08,continue,2023-05-19 19:52:00
122,0.000289,9.375289211805885e-08,continue,2023-05-19 19:52:00
123,0.000298,9.244045109385837e-08,continue,2023-05-19 19:52:00
124,0.000307,9.11812030409052e-08,continue,2023-05-19 19:52:00
125,0.000316,8.997206560328102e-08,continue,2023-05-19 19:52:00
126,0.000325,8.880934033982943e-08,continue,2023-05-19 19:52:00
127,0.000334,8.769180131310132e-08,continue,2023-05-19 19:52:00
128,0.0003430000000000001,8.661615752555746e-08,continue,2023-05-19 19:52:00
129,0.000352,8.558001007384986e-08,continue,2023-05-19 19:52:00
130,0.000361,8.4581120048351e-08,continue,2023-05-19 19:52:00
131,0.00037,8.361740048676405e-08,continue,2023-05-19 19:52:00
132,0.000379,8.26869075994567e-08,continue,2023-05-19 19:52:00
133,0.000388,8.17878316801703e-08,continue,2023-05-19 19:52:00
134,0.000397,8.091848800442771e-08,continue,2023-05-19 19:52:00
135,0.0004059999999999999,8.007730792902383e-08,continue,2023-05-19 19:52:00
136,0.000415,7.926283033676601e-08,continue,2023-05-19 19:52:00
137,0.0004240000000000001,7.847369351801908e-08,continue,2023-05-19 19:52:00
138,0.000433,7.770862754148195e-08,continue,2023-05-19 19:52:00
139,0.000442,7.69664471380875e-08,continue,2023-05-19 19:52:00
140,0.0004509999999999999,7.62460451015985e-08,continue,2023-05-19 19:52:00
141,0.00046,7.554638619537821e-08,continue,2023-05-19 19:52:00
142,0.0004690000000000001,7.486650154539297e-08,continue,2023-05-19 19:52:00
143,0.0004780000000000001,7.420548349356136e-08,continue,2023-05-19 19:52:00
144,0.000487,7.356247817452753e-08,continue,2023-05-19 19:52:00
145,0.000496,7.293666381977721e-08,continue,2023-05-19 19:52:00
146,0.000505,7.232731618291191e-08,continue,2023-05-19 19:52:00
147,0.000514,7.173372911543805e-08,continue,2023-05-19 19:52:00
148,0.000523,7.115523780561544e-08,continue,2023-05-19 19:52:00
149,0.000532,7.059121576269454e-08,continue,2023-05-19 19:52:00
150,0.000541,7.004107205787966e-08,continue,2023-05-19 19:52:00
151,0.00055,6.950424879844945e-08,continue,2023-05-19 19:52:00
152,0.000559,6.898021881343547e-08,continue,2023-05-19 19:52:00
153,0.000568,6.846848353117971e-08,continue,2023-05-19 19:52:00
154,0.000577,6.796857103093213e-08,continue,2023-05-19 19:52:00
155,0.000586,6.748003425234617e-08,continue,2023-05-19 19:52:00
156,0.000595,6.700244934831589e-08,continue,2023-05-19 19:52:00
157,0.000604,6.653541416801805e-08,continue,2023-05-19 19:52:00
158,0.000613,6.607854685836631e-08,continue,2023-05-19 19:52:00
159,0.000622,6.563148457322056e-08,continue,2023-05-19 19:52:00
160,0.000631,6.519388228078397e-08,continue,2023-05-19 19:52:00
161,0.00064,6.476541166055873e-08,continue,2023-05-19 19:52:00
162,0.000649,6.434576008208735e-08,continue,2023-05-19 19:52:00
163,0.0006580000000000001,6.393420964041744e-08,continue,2023-05-19 19:52:00
164,0.000667,6.353130197649573e-08,continue,2023-05-19 19:52:00
